content,Sentimen,word_count,char_count,punc_count,processed_reviews,normalized_reviews,tokens,stopword_removed,stemmed_reviews,joined_stemmed_reviews,stopword_removed_custom,stemmed_reviews_custom
Sangat membantu,POSITIF,2,14,0,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'membantu']",['membantu'],['bantu'],bantu,['membantu'],['bantu']
keren sangat memudahkan dan membantu. Bisa tau bis nya sampai mana jadi bisa lebih efektif. Dan bisa tau halte² nya. Terimakasih ,POSITIF,21,108,3,"['keren', 'sangat', 'memudahkan', 'dan', 'membantu', 'bisa', 'tau', 'bis', 'nya', 'sampai', 'mana', 'jadi', 'bisa', 'lebih', 'efektif', 'dan', 'bisa', 'tau', 'halte', 'nya', 'terimakasih']","['keren', 'sangat', 'memudahkan', 'dan', 'membantu', 'bisa', 'tau', 'bus', 'nya', 'sampai', 'mana', 'jadi', 'bisa', 'lebih', 'efektif', 'dan', 'bisa', 'tau', 'halte', 'nya', 'terimakasih']","['keren', 'sangat', 'memudahkan', 'dan', 'membantu', 'bisa', 'tau', 'bus', 'nya', 'sampai', 'mana', 'jadi', 'bisa', 'lebih', 'efektif', 'dan', 'bisa', 'tau', 'halte', 'nya', 'terimakasih']","['keren', 'memudahkan', 'membantu', 'tau', 'bus', 'nya', 'efektif', 'tau', 'halte', 'nya', 'terimakasih']","['keren', 'mudah', 'bantu', 'tau', 'bus', 'nya', 'efektif', 'tau', 'halte', 'nya', 'terimakasih']",keren mudah bantu tau bus nya efektif tau halte nya terimakasih,"['keren', 'memudahkan', 'membantu', 'tau', 'bus', 'efektif', 'tau', 'halte', 'terimakasih']","['keren', 'mudah', 'bantu', 'tau', 'bus', 'efektif', 'tau', 'halte', 'terimakasih']"
Sangat membantu,POSITIF,2,14,0,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'membantu']",['membantu'],['bantu'],bantu,['membantu'],['bantu']
Tolong lagunya kalau bisa setiap Minggu diganti dong  nanti dikasih bintang lagi,NEGATIF,12,68,0,"['tolong', 'lagunya', 'kalau', 'bisa', 'setiap', 'minggu', 'diganti', 'dong', 'nanti', 'dikasih', 'bintang', 'lagi']","['tolong', 'lagunya', 'kalau', 'bisa', 'setiap', 'minggu', 'diganti', '', 'nanti', 'dikasih', 'bintang', 'lagi']","['tolong', 'lagunya', 'kalau', 'bisa', 'setiap', 'minggu', 'diganti', '', 'nanti', 'dikasih', 'bintang', 'lagi']","['tolong', 'lagunya', 'minggu', 'diganti', '', 'dikasih', 'bintang']","['tolong', 'lagu', 'minggu', 'ganti', '', 'kasih', 'bintang']",tolong lagu minggu ganti  kasih bintang,"['tolong', 'lagunya', 'minggu', 'diganti', '', 'dikasih', 'bintang']","['tolong', 'lagu', 'minggu', 'ganti', '', 'kasih', 'bintang']"
Untuk rute Mojokerto Batu kenapa tidak ada layanan ya di aplikasi ini? apa khusus bus yang aktif di aplikasi ini? elf tidak ada?,NEGATIF,23,106,3,"['untuk', 'rute', 'mojokerto', 'batu', 'kenapa', 'tidak', 'ada', 'layanan', 'ya', 'di', 'aplikasi', 'ini', 'apa', 'khusus', 'bus', 'yang', 'aktif', 'di', 'aplikasi', 'ini', 'elf', 'tidak', 'ada']","['untuk', 'rute', 'mojokerto', 'batu', 'kenapa', 'tidak', 'ada', 'layanan', 'iya', 'di', 'aplikasi', 'ini', 'apa', 'khusus', 'bus', 'yang', 'aktif', 'di', 'aplikasi', 'ini', 'elf', 'tidak', 'ada']","['untuk', 'rute', 'mojokerto', 'batu', 'kenapa', 'tidak', 'ada', 'layanan', 'iya', 'di', 'aplikasi', 'ini', 'apa', 'khusus', 'bus', 'yang', 'aktif', 'di', 'aplikasi', 'ini', 'elf', 'tidak', 'ada']","['rute', 'mojokerto', 'batu', 'layanan', 'iya', 'aplikasi', 'khusus', 'bus', 'aktif', 'aplikasi', 'elf']","['rute', 'mojokerto', 'batu', 'layan', 'iya', 'aplikasi', 'khusus', 'bus', 'aktif', 'aplikasi', 'elf']",rute mojokerto batu layan iya aplikasi khusus bus aktif aplikasi elf,"['rute', 'mojokerto', 'batu', 'layanan', 'iya', 'aplikasi', 'khusus', 'bus', 'aktif', 'aplikasi', 'elf']","['rute', 'mojokerto', 'batu', 'layan', 'iya', 'aplikasi', 'khusus', 'bus', 'aktif', 'aplikasi', 'elf']"
Mantab,POSITIF,1,6,0,['mantab'],['mantab'],['mantab'],['mantab'],['mantab'],mantab,['mantab'],['mantab']
"aplikasi memudahkan untuk memantau bis, mungkin bisa diperbaiki lagi agar lebih akurat",POSITIF,12,75,1,"['aplikasi', 'memudahkan', 'untuk', 'memantau', 'bis', 'mungkin', 'bisa', 'diperbaiki', 'lagi', 'agar', 'lebih', 'akurat']","['aplikasi', 'memudahkan', 'untuk', 'memantau', 'bus', 'mungkin', 'bisa', 'diperbaiki', 'lagi', 'agar', 'lebih', 'akurat']","['aplikasi', 'memudahkan', 'untuk', 'memantau', 'bus', 'mungkin', 'bisa', 'diperbaiki', 'lagi', 'agar', 'lebih', 'akurat']","['aplikasi', 'memudahkan', 'memantau', 'bus', 'diperbaiki', 'akurat']","['aplikasi', 'mudah', 'pantau', 'bus', 'baik', 'akurat']",aplikasi mudah pantau bus baik akurat,"['aplikasi', 'memudahkan', 'memantau', 'bus', 'diperbaiki', 'akurat']","['aplikasi', 'mudah', 'pantau', 'bus', 'baik', 'akurat']"
Ok,POSITIF,1,2,0,['ok'],['ok'],['ok'],['ok'],['ok'],ok,['ok'],['ok']
Harusnya darI mojokerto bisa langsung turun ke bungurasih,NEGATIF,8,50,0,"['harusnya', 'dari', 'mojokerto', 'bisa', 'langsung', 'turun', 'ke', 'bungurasih']","['harusnya', 'dari', 'mojokerto', 'bisa', 'langsung', 'turun', 'ke', 'bungurasih']","['harusnya', 'dari', 'mojokerto', 'bisa', 'langsung', 'turun', 'ke', 'bungurasih']","['mojokerto', 'langsung', 'turun', 'bungurasih']","['mojokerto', 'langsung', 'turun', 'bungurasih']",mojokerto langsung turun bungurasih,"['mojokerto', 'langsung', 'turun', 'bungurasih']","['mojokerto', 'langsung', 'turun', 'bungurasih']"
Nyaman bngt,POSITIF,2,10,0,"['nyaman', 'bngt']","['nyaman', 'banget']","['nyaman', 'banget']","['nyaman', 'banget']","['nyaman', 'banget']",nyaman banget,"['nyaman', 'banget']","['nyaman', 'banget']"
Mantull,POSITIF,1,7,0,['mantull'],['mantull'],['mantull'],['mantull'],['mantull'],mantull,['mantull'],['mantull']
Kembalikan k2 ke bungurasih,NEGATIF,4,24,0,"['kembalikan', 'k', 'ke', 'bungurasih']","['kembalikan', 'k', 'ke', 'bungurasih']","['kembalikan', 'k', 'ke', 'bungurasih']","['kembalikan', 'k', 'bungurasih']","['kembali', 'k', 'bungurasih']",kembali k bungurasih,"['kembalikan', 'k', 'bungurasih']","['kembali', 'k', 'bungurasih']"
Kapan trayek Surabaya - Bangkalan mulai beroperasi?,POSITIF,7,45,2,"['kapan', 'trayek', 'surabaya', 'bangkalan', 'mulai', 'beroperasi']","['kapan', 'trayek', 'surabaya', 'bangkalan', 'mulai', 'beroperasi']","['kapan', 'trayek', 'surabaya', 'bangkalan', 'mulai', 'beroperasi']","['trayek', 'surabaya', 'bangkalan', 'beroperasi']","['trayek', 'surabaya', 'bangkal', 'operasi']",trayek surabaya bangkal operasi,"['trayek', 'surabaya', 'bangkalan', 'beroperasi']","['trayek', 'surabaya', 'bangkal', 'operasi']"
Saya belum naik bus trans Jatim sudah seneng melihat beritanya,POSITIF,10,53,0,"['saya', 'belum', 'naik', 'bus', 'trans', 'jatim', 'sudah', 'seneng', 'melihat', 'beritanya']","['saya', 'belum', 'naik', 'bus', 'trans', 'jatim', 'sudah', 'seneng', 'melihat', 'beritanya']","['saya', 'belum', 'naik', 'bus', 'trans', 'jatim', 'sudah', 'seneng', 'melihat', 'beritanya']","['bus', 'trans', 'jatim', 'seneng', 'beritanya']","['bus', 'trans', 'jatim', 'neng', 'berita']",bus trans jatim neng berita,"['bus', 'trans', 'jatim', 'seneng', 'beritanya']","['bus', 'trans', 'jatim', 'neng', 'berita']"
"Busnya bagus, bersih. Cuma disayangkan aja turunnya di halte medaeng dan harus oper kendaraan lain untuk naik bis ke bungurasih, harusnya lebih enak langsung ke bungurasih aja sih terlebih orang-orang yang bawa koper biar gak ribet dan tambahkan metode pembayaran online yg lain donk, jangan pake astrapay. Trims.",NEGATIF,48,266,7,"['busnya', 'bagus', 'bersih', 'cuma', 'disayangkan', 'aja', 'turunnya', 'di', 'halte', 'medaeng', 'dan', 'harus', 'oper', 'kendaraan', 'lain', 'untuk', 'naik', 'bis', 'ke', 'bungurasih', 'harusnya', 'lebih', 'enak', 'langsung', 'ke', 'bungurasih', 'aja', 'sih', 'terlebih', 'orangorang', 'yang', 'bawa', 'koper', 'biar', 'gak', 'ribet', 'dan', 'tambahkan', 'metode', 'pembayaran', 'online', 'yg', 'lain', 'donk', 'jangan', 'pake', 'astrapay', 'trims']","['busnya', 'bagus', 'bersih', 'hanya', 'disayangkan', 'saja', 'turunnya', 'di', 'halte', 'medaeng', 'dan', 'harus', 'oper', 'kendaraan', 'lain', 'untuk', 'naik', 'bus', 'ke', 'bungurasih', 'harusnya', 'lebih', 'enak', 'langsung', 'ke', 'bungurasih', 'saja', '', 'terlebih', 'orangorang', 'yang', 'bawa', 'koper', 'biar', 'tidak', 'ribet', 'dan', 'tambahkan', 'metode', 'pembayaran', 'online', 'yang', 'lain', 'donk', 'jangan', 'pake', 'astrapay', 'trims']","['busnya', 'bagus', 'bersih', 'hanya', 'disayangkan', 'saja', 'turunnya', 'di', 'halte', 'medaeng', 'dan', 'harus', 'oper', 'kendaraan', 'lain', 'untuk', 'naik', 'bus', 'ke', 'bungurasih', 'harusnya', 'lebih', 'enak', 'langsung', 'ke', 'bungurasih', 'saja', '', 'terlebih', 'orangorang', 'yang', 'bawa', 'koper', 'biar', 'tidak', 'ribet', 'dan', 'tambahkan', 'metode', 'pembayaran', 'online', 'yang', 'lain', 'donk', 'jangan', 'pake', 'astrapay', 'trims']","['busnya', 'bagus', 'bersih', 'disayangkan', 'turunnya', 'halte', 'medaeng', 'oper', 'kendaraan', 'bus', 'bungurasih', 'enak', 'langsung', 'bungurasih', '', 'orangorang', 'bawa', 'koper', 'biar', 'ribet', 'tambahkan', 'metode', 'pembayaran', 'online', 'donk', 'pake', 'astrapay', 'trims']","['bus', 'bagus', 'bersih', 'sayang', 'turun', 'halte', 'medaeng', 'oper', 'kendara', 'bus', 'bungurasih', 'enak', 'langsung', 'bungurasih', '', 'orangorang', 'bawa', 'koper', 'biar', 'ribet', 'tambah', 'metode', 'bayar', 'online', 'donk', 'pake', 'astrapay', 'trims']",bus bagus bersih sayang turun halte medaeng oper kendara bus bungurasih enak langsung bungurasih  orangorang bawa koper biar ribet tambah metode bayar online donk pake astrapay trims,"['busnya', 'bagus', 'bersih', 'disayangkan', 'turunnya', 'halte', 'medaeng', 'oper', 'kendaraan', 'bus', 'bungurasih', 'enak', 'langsung', 'bungurasih', '', 'orangorang', 'bawa', 'koper', 'biar', 'ribet', 'tambahkan', 'metode', 'pembayaran', 'online', 'donk', 'pake', 'astrapay', 'trims']","['bus', 'bagus', 'bersih', 'sayang', 'turun', 'halte', 'medaeng', 'oper', 'kendara', 'bus', 'bungurasih', 'enak', 'langsung', 'bungurasih', '', 'orangorang', 'bawa', 'koper', 'biar', 'ribet', 'tambah', 'metode', 'bayar', 'online', 'donk', 'pake', 'astrapay', 'trims']"
payment harusnya bisa pake QRIS ,NEGATIF,5,27,0,"['payment', 'harusnya', 'bisa', 'pake', 'qris']","['payment', 'harusnya', 'bisa', 'pake', 'qris']","['payment', 'harusnya', 'bisa', 'pake', 'qris']","['payment', 'pake', 'qris']","['payment', 'pake', 'qris']",payment pake qris,"['payment', 'pake', 'qris']","['payment', 'pake', 'qris']"
"Buruk, sangat lambat, kalo supirnya gak niat ganti aja. Gak bisa sat set",NEGATIF,13,60,3,"['buruk', 'sangat', 'lambat', 'kalo', 'supirnya', 'gak', 'niat', 'ganti', 'aja', 'gak', 'bisa', 'sat', 'set']","['buruk', 'sangat', 'lambat', 'kalo', 'supirnya', 'tidak', 'niat', 'ganti', 'saja', 'tidak', 'bisa', 'sat', 'set']","['buruk', 'sangat', 'lambat', 'kalo', 'supirnya', 'tidak', 'niat', 'ganti', 'saja', 'tidak', 'bisa', 'sat', 'set']","['buruk', 'lambat', 'kalo', 'supirnya', 'niat', 'ganti', 'sat', 'set']","['buruk', 'lambat', 'kalo', 'supirnya', 'niat', 'ganti', 'sat', 'set']",buruk lambat kalo supirnya niat ganti sat set,"['buruk', 'lambat', 'kalo', 'supirnya', 'niat', 'ganti', 'sat', 'set']","['buruk', 'lambat', 'kalo', 'supirnya', 'niat', 'ganti', 'sat', 'set']"
"Waktu masih peluncuran dr mojokerto bisa turun sampai bungurasih, makin kesini jurusan surabaya terakhir turun halte medaeng tidak di bungurasih lagi... Parah nya lagi tidak ada bus jurusan lain yg transit ke halte medaeng ke bungurasih... Bukannya nambah halte buat mempermudah malah mempersulit, yg seharusnya bisa langsung oper ke bus antar kota, skrg ke bungurasih harus oper lagi naik ojek online / ojek pengkolan",NEGATIF,64,355,10,"['waktu', 'masih', 'peluncuran', 'dr', 'mojokerto', 'bisa', 'turun', 'sampai', 'bungurasih', 'makin', 'kesini', 'jurusan', 'surabaya', 'terakhir', 'turun', 'halte', 'medaeng', 'tidak', 'di', 'bungurasih', 'lagi', 'parah', 'nya', 'lagi', 'tidak', 'ada', 'bus', 'jurusan', 'lain', 'yg', 'transit', 'ke', 'halte', 'medaeng', 'ke', 'bungurasih', 'bukannya', 'nambah', 'halte', 'buat', 'mempermudah', 'malah', 'mempersulit', 'yg', 'seharusnya', 'bisa', 'langsung', 'oper', 'ke', 'bus', 'antar', 'kota', 'skrg', 'ke', 'bungurasih', 'harus', 'oper', 'lagi', 'naik', 'ojek', 'online', 'ojek', 'pengkolan']","['waktu', 'masih', 'peluncuran', 'dari', 'mojokerto', 'bisa', 'turun', 'sampai', 'bungurasih', 'makin', 'kesini', 'jurusan', 'surabaya', 'terakhir', 'turun', 'halte', 'medaeng', 'tidak', 'di', 'bungurasih', 'lagi', 'parah', 'nya', 'lagi', 'tidak', 'ada', 'bus', 'jurusan', 'lain', 'yang', 'transit', 'ke', 'halte', 'medaeng', 'ke', 'bungurasih', 'bukannya', 'nambah', 'halte', 'buat', 'mempermudah', 'malah', 'mempersulit', 'yang', 'seharusnya', 'bisa', 'langsung', 'oper', 'ke', 'bus', 'antar', 'kota', 'skrg', 'ke', 'bungurasih', 'harus', 'oper', 'lagi', 'naik', 'ojek', 'online', 'ojek', 'pengkolan']","['waktu', 'masih', 'peluncuran', 'dari', 'mojokerto', 'bisa', 'turun', 'sampai', 'bungurasih', 'makin', 'kesini', 'jurusan', 'surabaya', 'terakhir', 'turun', 'halte', 'medaeng', 'tidak', 'di', 'bungurasih', 'lagi', 'parah', 'nya', 'lagi', 'tidak', 'ada', 'bus', 'jurusan', 'lain', 'yang', 'transit', 'ke', 'halte', 'medaeng', 'ke', 'bungurasih', 'bukannya', 'nambah', 'halte', 'buat', 'mempermudah', 'malah', 'mempersulit', 'yang', 'seharusnya', 'bisa', 'langsung', 'oper', 'ke', 'bus', 'antar', 'kota', 'skrg', 'ke', 'bungurasih', 'harus', 'oper', 'lagi', 'naik', 'ojek', 'online', 'ojek', 'pengkolan']","['peluncuran', 'mojokerto', 'turun', 'bungurasih', 'kesini', 'jurusan', 'surabaya', 'turun', 'halte', 'medaeng', 'bungurasih', 'parah', 'nya', 'bus', 'jurusan', 'transit', 'halte', 'medaeng', 'bungurasih', 'nambah', 'halte', 'mempermudah', 'mempersulit', 'langsung', 'oper', 'bus', 'kota', 'skrg', 'bungurasih', 'oper', 'ojek', 'online', 'ojek', 'pengkolan']","['luncur', 'mojokerto', 'turun', 'bungurasih', 'kesini', 'jurus', 'surabaya', 'turun', 'halte', 'medaeng', 'bungurasih', 'parah', 'nya', 'bus', 'jurus', 'transit', 'halte', 'medaeng', 'bungurasih', 'nambah', 'halte', 'mudah', 'sulit', 'langsung', 'oper', 'bus', 'kota', 'skrg', 'bungurasih', 'oper', 'ojek', 'online', 'ojek', 'pengkol']",luncur mojokerto turun bungurasih kesini jurus surabaya turun halte medaeng bungurasih parah nya bus jurus transit halte medaeng bungurasih nambah halte mudah sulit langsung oper bus kota skrg bungurasih oper ojek online ojek pengkol,"['peluncuran', 'mojokerto', 'turun', 'bungurasih', 'kesini', 'jurusan', 'surabaya', 'turun', 'halte', 'medaeng', 'bungurasih', 'parah', 'bus', 'jurusan', 'transit', 'halte', 'medaeng', 'bungurasih', 'nambah', 'halte', 'mempermudah', 'mempersulit', 'langsung', 'oper', 'bus', 'kota', 'skrg', 'bungurasih', 'oper', 'ojek', 'online', 'ojek', 'pengkolan']","['luncur', 'mojokerto', 'turun', 'bungurasih', 'kesini', 'jurus', 'surabaya', 'turun', 'halte', 'medaeng', 'bungurasih', 'parah', 'bus', 'jurus', 'transit', 'halte', 'medaeng', 'bungurasih', 'nambah', 'halte', 'mudah', 'sulit', 'langsung', 'oper', 'bus', 'kota', 'skrg', 'bungurasih', 'oper', 'ojek', 'online', 'ojek', 'pengkol']"
"Perjalanan yg nyaman, aman & murah",POSITIF,6,29,2,"['perjalanan', 'yg', 'nyaman', 'aman', 'murah']","['perjalanan', 'yang', 'nyaman', 'aman', 'murah']","['perjalanan', 'yang', 'nyaman', 'aman', 'murah']","['perjalanan', 'nyaman', 'aman', 'murah']","['jalan', 'nyaman', 'aman', 'murah']",jalan nyaman aman murah,"['perjalanan', 'nyaman', 'aman', 'murah']","['jalan', 'nyaman', 'aman', 'murah']"
"Untuk Koridor 2, dulu seneng banget, bisa langsung ke Bungurasih jadi Kita kalau mau kemana mana gampang, tapi jadi sangat kecewa banget sekarang hanya sampai Halte Medaeng. Kami sangat berharap bisa masuk ke terminal Bungurasih lagi. Terimakasih.",NEGATIF,37,211,6,"['untuk', 'koridor', 'dulu', 'seneng', 'banget', 'bisa', 'langsung', 'ke', 'bungurasih', 'jadi', 'kita', 'kalau', 'mau', 'kemana', 'mana', 'gampang', 'tapi', 'jadi', 'sangat', 'kecewa', 'banget', 'sekarang', 'hanya', 'sampai', 'halte', 'medaeng', 'kami', 'sangat', 'berharap', 'bisa', 'masuk', 'ke', 'terminal', 'bungurasih', 'lagi', 'terimakasih']","['untuk', 'koridor', 'dulu', 'seneng', 'banget', 'bisa', 'langsung', 'ke', 'bungurasih', 'jadi', 'kita', 'kalau', 'mau', 'kemana', 'mana', 'gampang', 'tapi', 'jadi', 'sangat', 'kecewa', 'banget', 'sekarang', 'hanya', 'sampai', 'halte', 'medaeng', 'kami', 'sangat', 'berharap', 'bisa', 'masuk', 'ke', 'terminal', 'bungurasih', 'lagi', 'terimakasih']","['untuk', 'koridor', 'dulu', 'seneng', 'banget', 'bisa', 'langsung', 'ke', 'bungurasih', 'jadi', 'kita', 'kalau', 'mau', 'kemana', 'mana', 'gampang', 'tapi', 'jadi', 'sangat', 'kecewa', 'banget', 'sekarang', 'hanya', 'sampai', 'halte', 'medaeng', 'kami', 'sangat', 'berharap', 'bisa', 'masuk', 'ke', 'terminal', 'bungurasih', 'lagi', 'terimakasih']","['koridor', 'seneng', 'banget', 'langsung', 'bungurasih', 'kemana', 'gampang', 'kecewa', 'banget', 'halte', 'medaeng', 'berharap', 'masuk', 'terminal', 'bungurasih', 'terimakasih']","['koridor', 'neng', 'banget', 'langsung', 'bungurasih', 'mana', 'gampang', 'kecewa', 'banget', 'halte', 'medaeng', 'harap', 'masuk', 'terminal', 'bungurasih', 'terimakasih']",koridor neng banget langsung bungurasih mana gampang kecewa banget halte medaeng harap masuk terminal bungurasih terimakasih,"['koridor', 'seneng', 'banget', 'langsung', 'bungurasih', 'kemana', 'gampang', 'kecewa', 'banget', 'halte', 'medaeng', 'berharap', 'masuk', 'terminal', 'bungurasih', 'terimakasih']","['koridor', 'neng', 'banget', 'langsung', 'bungurasih', 'mana', 'gampang', 'kecewa', 'banget', 'halte', 'medaeng', 'harap', 'masuk', 'terminal', 'bungurasih', 'terimakasih']"
sangat membantu sekali,POSITIF,3,20,0,"['sangat', 'membantu', 'sekali']","['sangat', 'membantu', 'sekali']","['sangat', 'membantu', 'sekali']",['membantu'],['bantu'],bantu,['membantu'],['bantu']
KATANYA EVALUASI TAPI TIDAK ADA SOLUSI.,NEGATIF,6,34,1,"['katanya', 'evaluasi', 'tapi', 'tidak', 'ada', 'solusi']","['katanya', 'evaluasi', 'tapi', 'tidak', 'ada', 'solusi']","['katanya', 'evaluasi', 'tapi', 'tidak', 'ada', 'solusi']","['evaluasi', 'solusi']","['evaluasi', 'solusi']",evaluasi solusi,"['evaluasi', 'solusi']","['evaluasi', 'solusi']"
K2 turun Medaeng ..kecewa...,NEGATIF,4,25,5,"['k', 'turun', 'medaeng', 'kecewa']","['k', 'turun', 'medaeng', 'kecewa']","['k', 'turun', 'medaeng', 'kecewa']","['k', 'turun', 'medaeng', 'kecewa']","['k', 'turun', 'medaeng', 'kecewa']",k turun medaeng kecewa,"['k', 'turun', 'medaeng', 'kecewa']","['k', 'turun', 'medaeng', 'kecewa']"
Koridor 2 rute paling tolol. Gak akan naik dan akan saya ajak semua orang buat gak naik selama belum ada evaluasi,NEGATIF,21,93,1,"['koridor', 'rute', 'paling', 'tolol', 'gak', 'akan', 'naik', 'dan', 'akan', 'saya', 'ajak', 'semua', 'orang', 'buat', 'gak', 'naik', 'selama', 'belum', 'ada', 'evaluasi']","['koridor', 'rute', 'paling', 'tolol', 'tidak', 'akan', 'naik', 'dan', 'akan', 'saya', 'ajak', 'semua', 'orang', 'buat', 'tidak', 'naik', 'selama', 'belum', 'ada', 'evaluasi']","['koridor', 'rute', 'paling', 'tolol', 'tidak', 'akan', 'naik', 'dan', 'akan', 'saya', 'ajak', 'semua', 'orang', 'buat', 'tidak', 'naik', 'selama', 'belum', 'ada', 'evaluasi']","['koridor', 'rute', 'tolol', 'ajak', 'orang', 'evaluasi']","['koridor', 'rute', 'tolol', 'ajak', 'orang', 'evaluasi']",koridor rute tolol ajak orang evaluasi,"['koridor', 'rute', 'tolol', 'ajak', 'orang', 'evaluasi']","['koridor', 'rute', 'tolol', 'ajak', 'orang', 'evaluasi']"
Kalau dari Surabaya mau ke Mojokerto naikknya dari halte mana y?,POSITIF,11,54,1,"['kalau', 'dari', 'surabaya', 'mau', 'ke', 'mojokerto', 'naikknya', 'dari', 'halte', 'mana']","['kalau', 'dari', 'surabaya', 'mau', 'ke', 'mojokerto', 'naikknya', 'dari', 'halte', 'mana']","['kalau', 'dari', 'surabaya', 'mau', 'ke', 'mojokerto', 'naikknya', 'dari', 'halte', 'mana']","['surabaya', 'mojokerto', 'naikknya', 'halte']","['surabaya', 'mojokerto', 'naikknya', 'halte']",surabaya mojokerto naikknya halte,"['surabaya', 'mojokerto', 'naikknya', 'halte']","['surabaya', 'mojokerto', 'naikknya', 'halte']"
*1 ae..sampe halte medaeng di ilangno Duso loh meruwetkan hidup orang lain min sariminnnnn,NEGATIF,14,77,3,"['aesampe', 'halte', 'medaeng', 'di', 'ilangno', 'duso', 'loh', 'meruwetkan', 'hidup', 'orang', 'lain', 'min', 'sariminnnnn']","['aesampe', 'halte', 'medaeng', 'di', 'ilangno', 'duso', '', 'meruwetkan', 'hidup', 'orang', 'lain', 'min', 'sariminnnnn']","['aesampe', 'halte', 'medaeng', 'di', 'ilangno', 'duso', '', 'meruwetkan', 'hidup', 'orang', 'lain', 'min', 'sariminnnnn']","['aesampe', 'halte', 'medaeng', 'ilangno', 'duso', '', 'meruwetkan', 'hidup', 'orang', 'min', 'sariminnnnn']","['aesampe', 'halte', 'medaeng', 'ilangno', 'duso', '', 'ruwet', 'hidup', 'orang', 'min', 'sariminnnnn']",aesampe halte medaeng ilangno duso  ruwet hidup orang min sariminnnnn,"['aesampe', 'halte', 'medaeng', 'ilangno', 'duso', '', 'meruwetkan', 'hidup', 'orang', 'min', 'sariminnnnn']","['aesampe', 'halte', 'medaeng', 'ilangno', 'duso', '', 'ruwet', 'hidup', 'orang', 'min', 'sariminnnnn']"
Sangat di sayangkan antara koridor 1 dan koridor 2 tidak terhubung. Dikarenakan koridor 2 tidak masuk ke terminal Purabaya. Dan koridor 1 juga tidak berhenti di halte medaeng. Bukannya membantu malah mikir 2 kali kalau mau naik. Perjalanan yang membutuh kan 2 koridor yang tak saling terhubung.,NEGATIF,47,248,5,"['sangat', 'di', 'sayangkan', 'antara', 'koridor', 'dan', 'koridor', 'tidak', 'terhubung', 'dikarenakan', 'koridor', 'tidak', 'masuk', 'ke', 'terminal', 'purabaya', 'dan', 'koridor', 'juga', 'tidak', 'berhenti', 'di', 'halte', 'medaeng', 'bukannya', 'membantu', 'malah', 'mikir', 'kali', 'kalau', 'mau', 'naik', 'perjalanan', 'yang', 'membutuh', 'kan', 'koridor', 'yang', 'tak', 'saling', 'terhubung']","['sangat', 'di', 'sayangkan', 'antara', 'koridor', 'dan', 'koridor', 'tidak', 'terhubung', 'dikarenakan', 'koridor', 'tidak', 'masuk', 'ke', 'terminal', 'purabaya', 'dan', 'koridor', 'juga', 'tidak', 'berhenti', 'di', 'halte', 'medaeng', 'bukannya', 'membantu', 'malah', 'mikir', 'kali', 'kalau', 'mau', 'naik', 'perjalanan', 'yang', 'membutuh', 'kan', 'koridor', 'yang', 'tak', 'saling', 'terhubung']","['sangat', 'di', 'sayangkan', 'antara', 'koridor', 'dan', 'koridor', 'tidak', 'terhubung', 'dikarenakan', 'koridor', 'tidak', 'masuk', 'ke', 'terminal', 'purabaya', 'dan', 'koridor', 'juga', 'tidak', 'berhenti', 'di', 'halte', 'medaeng', 'bukannya', 'membantu', 'malah', 'mikir', 'kali', 'kalau', 'mau', 'naik', 'perjalanan', 'yang', 'membutuh', 'kan', 'koridor', 'yang', 'tak', 'saling', 'terhubung']","['sayangkan', 'koridor', 'koridor', 'terhubung', 'koridor', 'masuk', 'terminal', 'purabaya', 'koridor', 'berhenti', 'halte', 'medaeng', 'membantu', 'mikir', 'kali', 'perjalanan', 'membutuh', 'koridor', 'terhubung']","['sayang', 'koridor', 'koridor', 'hubung', 'koridor', 'masuk', 'terminal', 'purabaya', 'koridor', 'henti', 'halte', 'medaeng', 'bantu', 'mikir', 'kali', 'jalan', 'butuh', 'koridor', 'hubung']",sayang koridor koridor hubung koridor masuk terminal purabaya koridor henti halte medaeng bantu mikir kali jalan butuh koridor hubung,"['sayangkan', 'koridor', 'koridor', 'terhubung', 'koridor', 'masuk', 'terminal', 'purabaya', 'koridor', 'berhenti', 'halte', 'medaeng', 'membantu', 'mikir', 'kali', 'perjalanan', 'membutuh', 'koridor', 'terhubung']","['sayang', 'koridor', 'koridor', 'hubung', 'koridor', 'masuk', 'terminal', 'purabaya', 'koridor', 'henti', 'halte', 'medaeng', 'bantu', 'mikir', 'kali', 'jalan', 'butuh', 'koridor', 'hubung']"
